K,valid_score,test_score,lr,num_layers,hidden_size,model
0,0.9309550678561935,0.0,0.01,2,512,graphsage
0,0.9301215973816284,0.0,0.01,2,512,pytorch_graphsage
0,0.0,0.8543694136907469,0.01,2,512,graphsage
0,0.0,0.8550426783790503,0.01,2,512,pytorch_graphsage
1,0.9198156222575502,0.0,0.01,2,512,graphsage
1,0.919738265879013,0.0,0.01,2,512,pytorch_graphsage
1,0.0,0.959871420528961,0.01,2,512,graphsage
1,0.0,0.9601654674163195,0.01,2,512,pytorch_graphsage
2,0.9408004638348055,0.0,0.01,2,512,graphsage
2,0.9391062261599447,0.0,0.01,2,512,pytorch_graphsage
2,0.0,0.8860543215695517,0.01,2,512,graphsage
2,0.0,0.8829446887977,0.01,2,512,pytorch_graphsage
3,0.9408656899328034,0.0,0.01,2,512,graphsage
3,0.9390473694489809,0.0,0.01,2,512,pytorch_graphsage
3,0.0,0.9635820672431672,0.01,2,512,graphsage
3,0.0,0.9609820905968666,0.01,2,512,pytorch_graphsage
4,0.9378099253196892,0.0,0.01,2,512,graphsage
4,0.9384551665501133,0.0,0.01,2,512,pytorch_graphsage
4,0.0,0.8688876090290258,0.01,2,512,graphsage
4,0.0,0.8685623913142362,0.01,2,512,pytorch_graphsage
5,0.9434115816237344,0.0,0.01,2,512,graphsage
5,0.944447815072956,0.0,0.01,2,512,pytorch_graphsage
5,0.0,0.9306530265114201,0.01,2,512,graphsage
5,0.0,0.931843493372823,0.01,2,512,pytorch_graphsage
6,0.9356343697665712,0.0,0.01,2,512,graphsage
6,0.936407655298157,0.0,0.01,2,512,pytorch_graphsage
6,0.0,0.9096097669809216,0.01,2,512,graphsage
6,0.0,0.9097331896957463,0.01,2,512,pytorch_graphsage
7,0.9300720535994558,0.0,0.01,2,512,graphsage
7,0.9306698642184346,0.0,0.01,2,512,pytorch_graphsage
7,0.0,0.9556211207389651,0.01,2,512,graphsage
7,0.0,0.956129015067745,0.01,2,512,pytorch_graphsage
8,0.9335829180176278,0.0,0.01,2,512,graphsage
8,0.9323753452676744,0.0,0.01,2,512,pytorch_graphsage
8,0.0,0.9609584073231123,0.01,2,512,graphsage
8,0.0,0.9603119740322192,0.01,2,512,pytorch_graphsage
9,0.9238807974504737,0.0,0.01,2,512,graphsage
9,0.9249552994853982,0.0,0.01,2,512,pytorch_graphsage
9,0.0,0.9484014909980655,0.01,2,512,graphsage
9,0.0,0.9472865680806197,0.01,2,512,pytorch_graphsage
10,0.944260811993993,0.0,0.01,2,512,graphsage
10,0.9422696381942244,0.0,0.01,2,512,pytorch_graphsage
10,0.0,0.9361490822088896,0.01,2,512,graphsage
10,0.0,0.9341686684412127,0.01,2,512,pytorch_graphsage
11,0.9084360407498109,0.0,0.01,2,512,graphsage
11,0.9080891895420047,0.0,0.01,2,512,pytorch_graphsage
11,0.0,0.9497395381797074,0.01,2,512,graphsage
11,0.0,0.9494018258208933,0.01,2,512,pytorch_graphsage
