K,valid_score,test_score,lr,num_layers,hidden_size
0.0,0.6733518034452611,0.0,0.01,3.0,32.0
0.0,0.7302553526135209,0.0,0.01,3.0,64.0
0.0,0.6122481169646896,0.0,0.01,5.0,32.0
0.0,0.6424857421321214,0.0,0.01,5.0,64.0
0.0,0.7302553526135209,0.6157842388505053,0.01,3.0,64.0
1.0,0.6670587252354199,0.0,0.01,3.0,32.0
1.0,0.7251643250217483,0.0,0.01,3.0,64.0
1.0,0.6155436396175176,0.0,0.01,5.0,32.0
1.0,0.6452918590750933,0.0,0.01,5.0,64.0
1.0,0.7251643250217483,0.7620323033072434,0.01,3.0,64.0
2.0,0.6771636949638649,0.0,0.01,3.0,32.0
2.0,0.7243749334306977,0.0,0.01,3.0,64.0
2.0,0.6109465659186917,0.0,0.01,5.0,32.0
2.0,0.6064573238466235,0.0,0.01,5.0,64.0
2.0,0.7243749334306977,0.6040546891459008,0.01,3.0,64.0
3.0,0.6871343637184385,0.0,0.01,3.0,32.0
3.0,0.7266837619880362,0.0,0.01,3.0,64.0
3.0,0.6252639515357675,0.0,0.01,5.0,32.0
3.0,0.6206654703406584,0.0,0.01,5.0,64.0
3.0,0.7266837619880362,0.7479792129123279,0.01,3.0,64.0
4.0,0.6595930467910358,0.0,0.01,3.0,32.0
4.0,0.7228706012617573,0.0,0.01,3.0,64.0
4.0,0.6115079623818664,0.0,0.01,5.0,32.0
4.0,0.6333432451530402,0.0,0.01,5.0,64.0
4.0,0.7228706012617573,0.6545794258201286,0.01,3.0,64.0
5.0,0.7074056458176081,0.0,0.01,3.0,32.0
5.0,0.7616188359810816,0.0,0.01,3.0,64.0
5.0,0.6284448209433102,0.0,0.01,5.0,32.0
5.0,0.6555430822748363,0.0,0.01,5.0,64.0
5.0,0.7616188359810816,0.7213787368861886,0.01,3.0,64.0
6.0,0.6529412518011418,0.0,0.01,3.0,32.0
6.0,0.7143226878946254,0.0,0.01,3.0,64.0
6.0,0.5611913302778051,0.0,0.01,5.0,32.0
6.0,0.574626201644197,0.0,0.01,5.0,64.0
6.0,0.7143226878946254,0.7000965968389785,0.01,3.0,64.0
7.0,0.636591958965637,0.0,0.01,3.0,32.0
7.0,0.6910554412292236,0.0,0.01,3.0,64.0
7.0,0.5958880679695466,0.0,0.01,5.0,32.0
7.0,0.5870349950397298,0.0,0.01,5.0,64.0
7.0,0.6910554412292236,0.7444072275408726,0.01,3.0,64.0
8.0,0.6368501627206083,0.0,0.01,3.0,32.0
8.0,0.6882517385415738,0.0,0.01,3.0,64.0
8.0,0.5865945996712628,0.0,0.01,5.0,32.0
8.0,0.6127436154677381,0.0,0.01,5.0,64.0
8.0,0.6882517385415738,0.7740179795665294,0.01,3.0,64.0
9.0,0.6663855985870504,0.0,0.01,3.0,32.0
9.0,0.7212723557780536,0.0,0.01,3.0,64.0
9.0,0.5531779516315851,0.0,0.01,5.0,32.0
9.0,0.6621554560352068,0.0,0.01,5.0,64.0
9.0,0.7212723557780536,0.7246553634285553,0.01,3.0,64.0
