K,valid_score,test_score,lr,num_layers,hidden_size
0.0,0.7915408862019975,0.0,0.1,2.0,256.0
0.0,0.8342153773797054,0.0,0.1,2.0,512.0
0.0,0.8721097655875805,0.0,0.1,2.0,1024.0
0.0,0.8363889504126424,0.0,0.01,2.0,256.0
0.0,0.8922304646401016,0.0,0.01,2.0,512.0
0.0,0.9208173034644562,0.0,0.01,2.0,1024.0
0.0,0.9208173034644562,0.8428893731243605,0.01,2.0,1024.0
1.0,0.8025096336280864,0.0,0.1,2.0,256.0
1.0,0.8510982241367475,0.0,0.1,2.0,512.0
1.0,0.9077314464208037,0.0,0.1,2.0,1024.0
1.0,0.8505028053449672,0.0,0.01,2.0,256.0
1.0,0.9065059264312294,0.0,0.01,2.0,512.0
1.0,0.942301917771938,0.0,0.01,2.0,1024.0
1.0,0.942301917771938,0.9618100998667657,0.01,2.0,1024.0
2.0,0.7966841296035696,0.0,0.1,2.0,256.0
2.0,0.8501422021210187,0.0,0.1,2.0,512.0
2.0,0.895373412903386,0.0,0.1,2.0,1024.0
2.0,0.8436215666195616,0.0,0.01,2.0,256.0
2.0,0.9076782778485282,0.0,0.01,2.0,512.0
2.0,0.9337911019048835,0.0,0.01,2.0,1024.0
2.0,0.9337911019048835,0.8983971504897595,0.01,2.0,1024.0
3.0,0.7805034360349686,0.0,0.1,2.0,256.0
3.0,0.8432571409766095,0.0,0.1,2.0,512.0
3.0,0.8800633945821257,0.0,0.1,2.0,1024.0
3.0,0.8353259265510595,0.0,0.01,2.0,256.0
3.0,0.8860889650122574,0.0,0.01,2.0,512.0
3.0,0.9192220832316045,0.0,0.01,2.0,1024.0
3.0,0.9192220832316045,0.9557925055734963,0.01,2.0,1024.0
4.0,0.7932287729827596,0.0,0.1,2.0,256.0
4.0,0.8500180496750134,0.0,0.1,2.0,512.0
4.0,0.9034477985078573,0.0,0.1,2.0,1024.0
4.0,0.8503845913901137,0.0,0.01,2.0,256.0
4.0,0.9000359589695195,0.0,0.01,2.0,512.0
4.0,0.928166206548804,0.0,0.01,2.0,1024.0
4.0,0.928166206548804,0.8649259106452312,0.01,2.0,1024.0
5.0,0.7876731094326995,0.0,0.1,2.0,256.0
5.0,0.8420896510769669,0.0,0.1,2.0,512.0
5.0,0.8952415561005693,0.0,0.1,2.0,1024.0
5.0,0.8470864886365717,0.0,0.01,2.0,256.0
5.0,0.8999593710684614,0.0,0.01,2.0,512.0
5.0,0.9324686460838139,0.0,0.01,2.0,1024.0
5.0,0.9324686460838139,0.9310292036255362,0.01,2.0,1024.0
6.0,0.815351649435027,0.0,0.1,2.0,256.0
6.0,0.8782638586483309,0.0,0.1,2.0,512.0
6.0,0.9315370369166864,0.0,0.1,2.0,1024.0
6.0,0.8750360952805323,0.0,0.01,2.0,256.0
6.0,0.938922708802451,0.0,0.01,2.0,512.0
6.0,0.9632518575659018,0.0,0.01,2.0,1024.0
6.0,0.9632518575659018,0.9175513645163305,0.01,2.0,1024.0
7.0,0.8032441793946861,0.0,0.1,2.0,256.0
7.0,0.8557654252593643,0.0,0.1,2.0,512.0
7.0,0.9047689959770945,0.0,0.1,2.0,1024.0
7.0,0.8540497808226779,0.0,0.01,2.0,256.0
7.0,0.9059737470814468,0.0,0.01,2.0,512.0
7.0,0.9337926676293378,0.0,0.01,2.0,1024.0
7.0,0.9337926676293378,0.9508233768539767,0.01,2.0,1024.0
8.0,0.7948941632548636,0.0,0.1,2.0,256.0
8.0,0.8445513830047902,0.0,0.1,2.0,512.0
8.0,0.8900631186514099,0.0,0.1,2.0,1024.0
8.0,0.8459178283026758,0.0,0.01,2.0,256.0
8.0,0.8995424013424227,0.0,0.01,2.0,512.0
8.0,0.9223346533685047,0.0,0.01,2.0,1024.0
8.0,0.9223346533685047,0.957721428934397,0.01,2.0,1024.0
9.0,0.7889216224811424,0.0,0.1,2.0,256.0
9.0,0.8380920020072417,0.0,0.1,2.0,512.0
9.0,0.8864223698801925,0.0,0.1,2.0,1024.0
9.0,0.8323458999754572,0.0,0.01,2.0,256.0
9.0,0.8908032063149287,0.0,0.01,2.0,512.0
9.0,0.9162006688004103,0.0,0.01,2.0,1024.0
9.0,0.9162006688004103,0.9414279059996895,0.01,2.0,1024.0
10.0,0.7920479018207245,0.0,0.1,2.0,256.0
10.0,0.8431081898308055,0.0,0.1,2.0,512.0
10.0,0.8886731076719849,0.0,0.1,2.0,1024.0
10.0,0.8460647766018223,0.0,0.01,2.0,256.0
10.0,0.8982047615299624,0.0,0.01,2.0,512.0
10.0,0.9287631622884291,0.0,0.01,2.0,1024.0
10.0,0.9287631622884291,0.9363363638945881,0.01,2.0,1024.0
11.0,0.7965787127265818,0.0,0.1,2.0,256.0
11.0,0.8585167154154247,0.0,0.1,2.0,512.0
11.0,0.8972695843017029,0.0,0.1,2.0,1024.0
11.0,0.8504797039957779,0.0,0.01,2.0,256.0
11.0,0.9012601610134754,0.0,0.01,2.0,512.0
11.0,0.930949688446352,0.0,0.01,2.0,1024.0
11.0,0.930949688446352,0.9516899914111049,0.01,2.0,1024.0
